trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud,transactionID
2019-01-09 01:26:00,6526960000000000.0,fraud_Koepp-Witting,grocery_pos,337.06,Jennifer,Scott,F,7351 Cindy Well Suite 099,Naples,FL,34120,26.3304,-81.5871,276002,Medical technical officer,1950-12-14,8276e627c4a4b500a02ad2e7bd5ebf7c,1326072387,26.137097,-82.463519,1,14487
2019-08-05 22:20:00,213158000000000.0,"fraud_Weber, Thiel and Hammes",kids_pets,19.85,Tara,Campbell,F,05050 Rogers Well Apt. 439,Rock Springs,WY,82901,41.606,-109.23,27971,Music therapist,1984-08-01,59f7a37240144cdeffb90b7dd011cba2,1344205253,42.176084,-108.557866,1,502311
2019-12-12 23:02:00,4446370000000000.0,fraud_Deckow-O'Conner,grocery_pos,315.51,Ryan,Joseph,M,8850 Jessica Center,Atlantic,VA,23303,37.9073,-75.5089,741,"Geologist, engineering",1986-08-17,61a6b1e25d99700b4969dc961086aef1,1355353371,37.89767,-75.698974,1,837710
2019-03-10 23:38:00,3567880000000000.0,fraud_Lebsack and Sons,misc_net,861.16,Tanya,Williams,F,566 Megan Well,Brownville,NY,13615,44.0577,-76.0196,1271,"Producer, radio",1958-08-14,0838329117455b30b63d931f5b0ce227,1331422736,44.184308,-76.634747,1,125945
2019-09-14 19:22:00,4.85585e+18,"fraud_Reichert, Rowe and Mraz",shopping_net,1000.81,Justin,Aguilar,M,184 Miller Manors,Wittenberg,WI,54499,44.8232,-89.1665,3223,Senior tax professional/tax inspector,1954-06-30,90cac32f923878ab644ee24b76e5200d,1347650552,45.039962,-88.46626,1,605754
2020-02-27 23:47:00,4.22371e+18,fraud_Ruecker Group,misc_net,736.87,Adam,Riddle,M,27718 Mason Bypass,Mount Saint Joseph,OH,45051,39.0965,-84.6431,177,Exhibition designer,1974-05-30,80e440042aa29a7f723a888f7ed59012,1362008839,39.190969,-83.807789,1,1023404
2019-10-12 05:12:00,30248900000000.0,fraud_Barton Inc,grocery_pos,291.43,Michael,Rodriguez,M,172 Paula Inlet Apt. 650,Cross Plains,TX,76443,32.1482,-99.1872,1897,Chief Operating Officer,1953-04-19,3afd100652bf51a63993a63bb92a20e0,1350018764,32.309593,-99.575854,1,667979
2019-02-18 22:57:00,3540210000000000.0,fraud_Gutmann-Upton,misc_pos,8.01,Steven,Yoder,M,94975 David Mews Apt. 316,Summerfield,TX,79085,34.7437,-102.5064,53,Fisheries officer,1992-06-19,eebba0d25985c67538b474c8e628b8c2,1329605875,34.432732,-101.567548,1,83800
2019-06-29 22:02:00,3519230000000000.0,"fraud_Ruecker, Beer and Collier",shopping_net,1268.18,Michael,Jones,M,754 Smith Isle,Amsterdam,OH,43903,40.4731,-80.9596,2208,Mental health nurse,1961-09-10,3dcde81622412d456ac5b1b0278c33dc,1341007342,40.186126,-80.21682,1,395650
2019-05-15 23:59:00,6524380000000000.0,fraud_Ankunding LLC,shopping_net,1131.15,Jasmine,Foster,F,954 White Alley Apt. 251,Phil Campbell,AL,35581,34.347,-87.7154,5778,"Engineer, aeronautical",1952-12-05,cb57cdfaec1298872a949739f0c31212,1337126398,34.207454,-87.536328,1,274527
