trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud,transactionID
2019-10-12 18:21:00,4.0891e+18,"fraud_Haley, Jewess and Bechtelar",shopping_pos,7.53,Debra,Stark,F,686 Linda Rest,Kilgore,TX,75662,32.3836,-94.8653,24536,Multimedia programmer,1983-10-14,d313353fa30233e5fab5468e852d22fc,1350066071,32.202008,-94.371865,0,669419
2019-08-05 22:20:00,213158000000000.0,"fraud_Weber, Thiel and Hammes",kids_pets,19.85,Tara,Campbell,F,05050 Rogers Well Apt. 439,Rock Springs,WY,82901,41.606,-109.23,27971,Music therapist,1984-08-01,59f7a37240144cdeffb90b7dd011cba2,1344205253,42.176084,-108.557866,1,502311
2019-04-29 10:00:00,213194000000000.0,"fraud_Mosciski, Gislason and Mertz",grocery_pos,94.28,James,Hunt,M,7369 Gabriel Tunnel,Pointe Aux Pins,MI,49775,45.7549,-84.447,95,Electrical engineer,1994-02-09,ea8e5f46f8d14451df9b7f5b0bf48d8b,1335693634,45.283206,-83.896902,0,237716
2019-01-20 13:06:00,4247920000000.0,fraud_Turner LLC,travel,3.79,Judith,Moss,F,46297 Benjamin Plains Suite 703,Washington Court House,OH,43160,39.537,-83.455,22305,Television floor manager,1939-03-09,88c65b4e1585934d578511e627fe3589,1327064760,39.156673,-82.930503,0,32568
2019-11-22 11:09:00,571844000000.0,fraud_Barton Inc,grocery_pos,98.47,Susan,Mills,F,005 Cody Estates,Louisville,KY,40202,38.2507,-85.7476,736284,Engineering geologist,1952-04-02,720312ac52a9c2ca34a458c6a363bbed,1353582598,38.001284,-85.863377,0,761468
2020-01-17 12:52:00,4328930000000000.0,fraud_Stoltenberg-Beatty,shopping_pos,20.59,Margaret,Ray,F,927 Cummings Manor Suite 318,Greendale,WI,53129,42.9373,-87.9943,13973,Logistics and distribution manager,1981-05-06,5c09ec083ce8e0a02fa257ceaaffd89c,1358427176,43.804237,-87.715986,0,952252
2019-07-22 23:41:00,3540080000000000.0,fraud_Stamm-Rodriguez,misc_pos,2.84,Christian,Johns,M,892 Solis Neck,Lonsdale,MN,55046,44.4477,-93.4252,5211,Chief Strategy Officer,1987-01-27,b3fa484e6765d32d3368300e93536688,1343000475,45.212281,-93.6503,0,462785
2020-02-25 15:12:00,4957920000000.0,fraud_Monahan-Morar,personal_care,25.58,Alan,Parsons,M,0547 Russell Ford Suite 574,Kirk,CO,80824,39.6171,-102.4776,207,Network engineer,1955-12-04,19e16ee7a01d229e750359098365e321,1361805120,39.080346,-103.213452,0,1020244
2019-12-12 23:02:00,4446370000000000.0,fraud_Deckow-O'Conner,grocery_pos,315.51,Ryan,Joseph,M,8850 Jessica Center,Atlantic,VA,23303,37.9073,-75.5089,741,"Geologist, engineering",1986-08-17,61a6b1e25d99700b4969dc961086aef1,1355353371,37.89767,-75.698974,1,837710
2019-01-09 01:26:00,6526960000000000.0,fraud_Koepp-Witting,grocery_pos,337.06,Jennifer,Scott,F,7351 Cindy Well Suite 099,Naples,FL,34120,26.3304,-81.5871,276002,Medical technical officer,1950-12-14,8276e627c4a4b500a02ad2e7bd5ebf7c,1326072387,26.137097,-82.463519,1,14487
2019-11-01 12:16:00,3576020000000000.0,fraud_Streich Ltd,home,33.63,Dawn,Gray,F,9486 Joel Common Suite 554,Topeka,KS,66618,39.1329,-95.7023,163415,Secondary school teacher,2004-12-30,37da95e03c70950394f0d53ebb3a3d2c,1351772209,38.500368,-95.200342,0,714151
2019-03-24 18:09:00,4026220000000.0,fraud_Klein Group,entertainment,59.07,Debbie,Payne,F,204 Ashley Neck Apt. 169,Preston,CT,6365,41.5224,-71.9934,4720,Broadcast presenter,1977-05-18,3bd9ede04b5c093143d5e5292940b670,1332612553,41.657152,-72.595751,0,156588
2019-09-17 00:33:00,501899000000.0,fraud_Hudson-Ratke,grocery_pos,124.61,Jessica,Dominguez,F,06393 Nancy Parkways Suite 855,Gadsden,AL,35903,33.9845,-85.9077,67082,Ceramics designer,1970-01-08,1ccfb50e0ca5d98548bd734ccf760f47,1347841986,34.432543,-86.871264,0,612811
2019-03-10 23:38:00,3567880000000000.0,fraud_Lebsack and Sons,misc_net,861.16,Tanya,Williams,F,566 Megan Well,Brownville,NY,13615,44.0577,-76.0196,1271,"Producer, radio",1958-08-14,0838329117455b30b63d931f5b0ce227,1331422736,44.184308,-76.634747,1,125945
2019-03-06 23:19:00,4178100000000000.0,fraud_Kozey-Kuhlman,personal_care,84.96,Jill,Flores,F,639 Cruz Islands,Baroda,MI,49101,41.9488,-86.4913,3104,"Horticulturist, commercial",1981-03-29,a0c8641ca1f5d6e243ed5a2246e66176,1331075954,42.502065,-86.732664,0,116273
2019-12-07 10:48:00,6534630000000000.0,fraud_Cummerata-Jones,gas_transport,57.14,Christine,Harris,F,29606 Martinez Views Suite 653,Hinesburg,VT,5461,44.3346,-73.098,4542,Claims inspector/assessor,1998-03-19,15280ce03a1563230bed561d278c6ce2,1354877330,45.057912,-73.141481,0,811760
2019-11-22 10:35:00,4951650000000000.0,fraud_Kerluke PLC,misc_net,1.14,Kimberly,Miller,F,75533 Tamara Valleys,Logan,IL,62856,37.9943,-88.9417,324,"Scientist, research (physical sciences)",1976-06-15,cc0d9a8070ab1194181857be53dedcc7,1353580530,38.463309,-89.082068,0,761431
2019-12-27 08:53:00,581293000000.0,"fraud_Schumm, Bauch and Ondricka",grocery_pos,103.95,William,Thomas,M,39227 Mcpherson Shoals,Lahoma,OK,73754,36.385,-98.0727,1078,Podiatrist,1989-10-06,f170cded4bbad4ebd6e11035486026fb,1356598401,36.546442,-97.408089,0,901433
2019-06-11 17:33:00,4708990000000000.0,"fraud_Roberts, Ryan and Smith",personal_care,36.37,Jared,Walters,M,3326 Hannah Fords,Cord,AR,72524,35.8184,-91.3375,376,"Designer, ceramics/pottery",1938-09-08,cbfc01ed3906bce0aa3382061a928fe8,1339436004,36.439744,-91.887327,0,345986
2019-11-06 20:15:00,30242900000000.0,fraud_Kozey-McDermott,travel,7.75,Dalton,Jones,M,3304 Hernandez Run,Afton,MI,49705,45.3637,-84.4695,937,Technical brewer,1958-04-06,e0c8d049b1bfd5a748483ae32a1cfc95,1352232941,45.967939,-84.428669,0,727077
